ID	Num1	Num2	Type
0	1	1	Min
0	1	1	Maj
0	2	2	All
2	2	9	Min
2	3	1	Maj
2	5	28	All
3	1	1	Min
3	1	1	Maj
3	2	2	All
6	1	1	Min
6	1	1	Maj
6	2	2	All
8	1	1	Min
8	1	1	Maj
8	2	2	All
10	1	1	Min
10	1	1	Maj
10	2	2	All
13	1	1	Min
13	1	1	Maj
13	2	2	All
14	1	4	Min
14	1	1	Maj
14	2	5	All
17	1	2	Min
17	1	1	Maj
17	2	3	All
19	1	2	Min
19	1	1	Maj
19	2	3	All
22	1	1	Min
22	0	0	Maj
22	1	4	All
23	1	2	Min
23	1	1	Maj
23	2	4	All
24	1	1	Min
24	5	1	Maj
24	6	6	All
27	1	1	Min
27	1	1	Maj
27	2	2	All
28	1	1	Min
28	3	2	Maj
28	4	4	All
29	5	5	Min
29	1	1	Maj
29	6	6	All
32	1	2	Min
32	1	2	Maj
32	2	4	All
34	1	1	Min
34	1	1	Maj
34	2	2	All
36	1	1	Min
36	2	2	Maj
36	3	3	All
37	1	1	Min
37	1	1	Maj
37	2	4	All
38	5	7	Min
38	1	1	Maj
38	6	8	All
39	1	2	Min
39	1	1	Maj
39	2	4	All
44	1	1	Min
44	2	2	Maj
44	3	3	All
45	1	1	Min
45	2	0	Maj
45	3	5	All
47	1	1	Min
47	1	1	Maj
47	2	2	All
49	1	1	Min
49	1	1	Maj
49	2	2	All
51	1	1	Min
51	1	1	Maj
51	2	2	All
52	3	3	Min
52	1	1	Maj
52	4	4	All
53	0	0	Min
53	1	1	Maj
53	1	2	All
56	0	0	Min
56	2	2	Maj
56	2	4	All
60	1	1	Min
60	1	1	Maj
60	2	2	All
62	1	1	Min
62	1	1	Maj
62	2	3	All
65	0	0	Min
65	1	1	Maj
65	1	1	All
71	1	1	Min
71	2	2	Maj
71	3	27	All
73	1	1	Min
73	0	0	Maj
73	1	1	All
74	0	0	Min
74	1	0	Maj
74	1	3	All
75	1	1	Min
75	2	2	Maj
75	3	8	All
78	1	1	Min
78	3	0	Maj
78	4	5	All
84	1	1	Min
84	1	1	Maj
84	2	12	All
87	2	2	Min
87	3	1	Maj
87	5	29	All
95	1	1	Min
95	2	2	Maj
95	3	4	All
96	1	1	Min
96	1	1	Maj
96	2	3	All
98	1	1	Min
98	1	1	Maj
98	2	4	All
103	0	0	Min
103	2	0	Maj
103	2	4	All
104	2	2	Min
104	0	0	Maj
104	2	2	All
107	1	1	Min
107	0	0	Maj
107	1	5	All
109	2	2	Min
109	1	1	Maj
109	3	4	All
112	2	2	Min
112	1	1	Maj
112	3	4	All
113	1	1	Min
113	0	0	Maj
113	1	1	All
119	1	1	Min
119	1	1	Maj
119	2	2	All
