ID	Domain	Tox_type	Tox_num	Ident	Mode	Simp_coeff
2	domain3	min	9	84.875	Strains_add	1.0
2	domain3	maj	1	82.016	Strains_add	0.5
6	domain3	min	1	91.106	Strains_add	0.0
8	domain3	min	1	81.871	Rank4	1.0
8	domain3	min	1	81.871	Rank3	1.0
8	domain3	min	1	81.871	Strains_add	1.0
8	domain3	maj	1	77.129	Rank4	0.0
8	domain3	maj	1	77.129	Rank3	0.0
8	domain3	maj	1	77.129	Strains_add	0.0
14	domain3	min	4	84.406	Rank4	0.0
14	domain3	min	4	84.406	Rank3	0.5
14	domain3	min	4	84.406	Strains_add	0.5
14	domain3	maj	1	90.715	Rank3	0.75
14	domain3	maj	1	90.715	Strains_add	0.75
17	domain3	min	2	76.172	Rank4	0.0
17	domain3	min	2	76.172	Rank3	0.4
17	domain3	min	2	76.172	Strains_add	0.4
17	domain3	maj	1	94.949	Rank4	0.0
17	domain3	maj	1	94.949	Rank3	0.3333333333333333
17	domain3	maj	1	94.949	Strains_add	0.3333333333333333
19	domain3	min	2	67.089	Rank4	0.0
19	domain3	min	2	67.089	Rank3	0.5
19	domain3	min	2	67.089	Strains_add	0.5
19	domain3	maj	1	92.771	Rank4	0.0
19	domain3	maj	1	92.771	Rank3	0.3333333333333333
19	domain3	maj	1	92.771	Strains_add	0.3333333333333333
23	domain3	min	2	69.844	Rank4	0.0
23	domain3	min	2	69.844	Rank3	0.0
23	domain3	min	2	69.844	Strains_add	0.0
23	domain3	maj	1	70.137	Strains_add	1.0
24	domain3	min	1	80.911	Rank3	0.0
24	domain3	min	1	80.911	Strains_add	0.0
24	domain3	maj	1	86.764	Rank3	0.6666666666666666
24	domain3	maj	1	86.764	Strains_add	0.6666666666666666
27	domain3	maj	1	99.347	Rank4	1.0
27	domain3	maj	1	99.347	Rank3	1.0
27	domain3	maj	1	99.347	Strains_add	1.0
29	domain3	min	5	66.112	Rank4	0.25
29	domain3	min	5	66.112	Rank3	0.4
29	domain3	min	5	66.112	Strains_add	0.4
29	domain3	maj	1	53.101	Rank4	0.5
29	domain3	maj	1	53.101	Rank3	1.0
29	domain3	maj	1	53.101	Strains_add	1.0
34	domain1	maj	1	85.476	Rank4	1.0
34	domain1	maj	1	85.476	Rank3	1.0
34	domain1	maj	1	85.476	Strains_add	1.0
37	domain3	min	1	67.666	Strains_add	0.0
37	domain3	maj	1	76.005	Strains_add	0.0
38	domain1	min	7	69.937	Rank4	0.0
38	domain1	min	7	69.937	Rank3	0.0
38	domain1	min	7	69.937	Strains_add	0.0
44	domain3	min	1	77.331	Rank4	0.0
44	domain3	min	1	77.331	Rank3	0.0
44	domain3	min	1	77.331	Strains_add	0.0
44	domain3	maj	2	76.523	Rank4	0.5
44	domain3	maj	2	76.523	Rank3	0.6666666666666666
44	domain3	maj	2	76.523	Strains_add	0.6666666666666666
49	domain3	min	1	63.314	Strains_add	0.0
49	domain3	maj	1	91.396	Strains_add	0.5
51	domain3	min	1	64.4	Rank3	1.0
51	domain3	min	1	64.4	Strains_add	1.0
51	domain3	maj	1	72.898	Rank3	0.0
51	domain3	maj	1	72.898	Strains_add	0.0
52	domain3	min	3	70.68	Rank4	0.0
52	domain3	min	3	70.68	Rank3	0.0
52	domain3	min	3	70.68	Strains_add	0.0
53	domain3	maj	1	83.29	Rank4	0.0
53	domain3	maj	1	83.29	Rank3	0.0
53	domain3	maj	1	83.29	Strains_add	0.0
56	domain1	maj	2	68.159	Rank4	1.0
56	domain1	maj	2	68.159	Rank3	1.0
56	domain1	maj	2	68.159	Strains_add	1.0
62	domain1	min	1	88.438	Rank3	0.0
62	domain1	min	1	88.438	Strains_add	0.0
62	domain1	maj	1	94.103	Rank3	0.6666666666666666
62	domain1	maj	1	94.103	Strains_add	0.6666666666666666
71	domain2	maj	2	53.511	Rank4	0.0
71	domain2	maj	2	53.511	Rank3	0.0
71	domain2	maj	2	53.511	Strains_add	0.0
73	domain3	min	1	74.6	Strains_add	0.0
87	domain1	min	2	89.044	Rank4	0.3333333333333333
87	domain1	min	2	89.044	Rank3	0.7777777777777778
87	domain1	min	2	89.044	Strains_add	0.7777777777777778
87	domain1	maj	1	67.067	Rank4	0.0
87	domain1	maj	1	67.067	Rank3	0.75
87	domain1	maj	1	67.067	Strains_add	0.75
95	domain1	min	1	96.115	Rank4	0.0
95	domain1	min	1	96.115	Rank3	0.0
95	domain1	min	1	96.115	Strains_add	0.0
95	domain1	maj	2	93.5	Rank4	1.0
95	domain1	maj	2	93.5	Rank3	1.0
95	domain1	maj	2	93.5	Strains_add	1.0
96	domain1	min	1	89.297	Strains_add	0.5
98	domain3	min	1	60.934	Rank4	0.0
98	domain3	min	1	60.934	Rank3	0.2
98	domain3	min	1	60.934	Strains_add	0.2
98	domain3	maj	1	65.028	Rank4	0.3333333333333333
98	domain3	maj	1	65.028	Rank3	1.0
98	domain3	maj	1	65.028	Strains_add	1.0
104	domain3	min	2	57.728	Strains_add	1.0
107	domain2	min	1	82.256	Strains_add	0.0
109	domain3	min	2	61.649	Rank4	0.0
109	domain3	min	2	61.649	Rank3	0.0
109	domain3	min	2	61.649	Strains_add	0.0
109	domain3	maj	1	68.085	Strains_add	0.0
119	domain1	min	1	92.55	Strains_add	1.0
119	domain1	maj	1	86.576	Rank4	0.0
119	domain1	maj	1	86.576	Rank3	0.5
119	domain1	maj	1	86.576	Strains_add	0.5
